AEROPORT,DAT_BEGIN,DAT_END,NAME_S,COEFF
AER,01.01.2017,09.01.2017,Новый год/ Рождество,1
AER,01.01.2017,30.04.2017,Горонолыжный сезон,1
AER,01.05.2017,31.05.2017,Низкий сезон,1
AER,01.05.2017,09.05.2017,Майские праздники,1
AER,01.06.2017,30.06.2017,Туристический сезон,1
AER,01.07.2017,31.08.2017,Пляжный сезон,1
AER,07.06.2017,14.06.2017,Кинотавр,1
AER,28.04.2017,30.04.2017,Формула 1,1
AER,01.09.2017,30.09.2017,Бархатный сезон,1
AER,01.10.2017,31.10.2017,Низкий сезон,1
AER,01.11.2017,31.12.2017,Горонолыжный сезон,1
AER,30.12.2017,31.12.2017,Новый год/ Рождество,1
AER,01.01.2018,09.01.2018,Новый год/ Рождество,1
AER,01.01.2018,30.04.2018,Горонолыжный сезон,1
AER,01.05.2018,31.05.2018,Низкий сезон,1
AER,01.05.2018,09.05.2018,Майские праздники,1
AER,01.06.2018,30.06.2018,Туристический сезон,1
AER,01.07.2018,31.08.2018,Пляжный сезон,1
AER,02.06.2018,10.06.2018,Кинотавр,1
AER,27.09.2018,30.09.2018,Формула 1,1
AER,01.09.2018,30.09.2018,Бархатный сезон,1
AER,01.10.2018,31.10.2018,Низкий сезон,1
AER,01.11.2018,31.12.2018,Горонолыжный сезон,1
AER,30.12.2018,31.12.2018,Новый год/ Рождество,1
AER,01.01.2019,09.01.2019,Новый год/ Рождество,1
AER,01.01.2019,30.04.2019,Горонолыжный сезон,1
AER,01.05.2019,31.05.2019,Низкий сезон,1
AER,01.05.2019,09.05.2019,Майские праздники,1
AER,01.06.2019,30.06.2019,Туристический сезон,1
AER,01.07.2019,31.08.2019,Пляжный сезон,1
AER,09.06.2019,16.06.2019,Кинотавр,1
AER,27.09.2019,29.09.2019,Формула 1,1
AER,01.09.2019,30.09.2019,Бархатный сезон,1
AER,01.10.2019,31.10.2019,Низкий сезон,1
AER,01.11.2019,31.12.2019,Горонолыжный сезон,1
AER,30.12.2019,31.12.2019,Новый год/ Рождество,1
AER,01.01.2020,09.01.2020,Новый год/ Рождество,1
AER,01.01.2020,30.04.2020,Горонолыжный сезон,1
AER,01.05.2020,31.05.2020,Низкий сезон,1
AER,01.05.2020,09.05.2020,Майские праздники,1
AER,01.06.2020,30.06.2020,Туристический сезон,1
AER,01.07.2020,31.08.2020,Пляжный сезон,1
AER,11.09.2020,18.09.2020,Кинотавр,1
AER,25.09.2020,27.09.2020,Формула 1,1
AER,01.09.2020,30.09.2020,Бархатный сезон,1
AER,01.10.2020,31.10.2020,Низкий сезон,1
AER,01.11.2020,31.12.2020,Горонолыжный сезон,1
AER,30.12.2020,31.12.2020,Новый год/ Рождество,1
ASF,01.01.2017,09.01.2017,Новый год/ Рождество,1
ASF,01.01.2017,30.04.2017,Рыболовный сезон,1
ASF,01.05.2017,31.05.2017,Туристический сезон,1
ASF,01.05.2017,09.05.2017,Майские праздники,1
ASF,01.06.2017,30.06.2017,Низкий сезон,1
ASF,01.07.2017,31.08.2017,Пляжный сезон,1
ASF,01.09.2017,30.09.2017,Высокий рыболовной сезон,1
ASF,01.10.2017,31.12.2017,Рыболовный сезон,1
ASF,30.12.2017,31.12.2017,Новый год/ Рождество,1
ASF,23.04.2017,26.04.2017,День Воблы,1
ASF,28.05.2017,29.05.2017,Зеленные святки,1
ASF,10.06.2017,10.06.2017,День рыбака,1
ASF,19.08.2017,20.08.2017,Золотая орда,1
ASF,18.09.2017,18.09.2017,День Арбуза,1
ASF,01.01.2018,09.01.2018,Новый год/ Рождество,1
ASF,01.01.2018,30.04.2018,Рыболовный сезон,1
ASF,01.05.2018,31.05.2018,Туристический сезон,1
ASF,01.05.2018,09.05.2018,Майские праздники,1
ASF,01.06.2018,30.06.2018,Низкий сезон,1
ASF,01.07.2018,31.08.2018,Пляжный сезон,1
ASF,01.09.2018,30.09.2018,Высокий рыболовной сезон,1
ASF,01.10.2018,31.12.2018,Рыболовный сезон,1
ASF,30.12.2018,31.12.2018,Новый год/ Рождество,1
ASF,23.04.2018,26.04.2018,День Воблы,1
ASF,28.05.2018,29.05.2018,Зеленные святки,1
ASF,10.06.2018,10.06.2018,День рыбака,1
ASF,19.08.2018,20.08.2018,Золотая орда,1
ASF,18.09.2018,18.09.2018,День Арбуза,1
ASF,01.01.2019,09.01.2019,Новый год/ Рождество,1
ASF,01.01.2019,30.04.2019,Рыболовный сезон,1
ASF,01.05.2019,31.05.2019,Туристический сезон,1
ASF,01.05.2019,09.05.2019,Майские праздники,1
ASF,01.06.2019,30.06.2019,Низкий сезон,1
ASF,01.07.2019,31.08.2019,Пляжный сезон,1
ASF,01.09.2019,30.09.2019,Высокий рыболовной сезон,1
ASF,01.10.2019,31.12.2019,Рыболовный сезон,1
ASF,30.12.2019,31.12.2019,Новый год/ Рождество,1
ASF,23.04.2019,26.04.2019,День Воблы,1
ASF,28.05.2019,29.05.2019,Зеленные святки,1
ASF,10.06.2019,10.06.2019,День рыбака,1
ASF,19.08.2019,20.08.2019,Золотая орда,1
ASF,18.09.2019,18.09.2019,День Арбуза,1
ASF,01.01.2020,09.01.2020,Новый год/ Рождество,1
ASF,01.01.2020,30.04.2020,Рыболовный сезон,1
ASF,01.05.2020,31.05.2020,Туристический сезон,1
ASF,01.05.2020,09.05.2020,Майские праздники,1
ASF,01.06.2020,30.06.2020,Низкий сезон,1
